lang,title
be,"Пражскія_дэфенестрацыі"
bg,"Пражка_дефенестрация"
br,"Difrenestriñ_Praha"
ca,"Defenestració_de_Praga"
en,"Defenestrations_of_Prague"
es,"Defenestraciones_de_Praga"
fr,"Défenestration_de_Prague"
gl,"Defenestracións_de_Praga"
hr,"Praška_defenestracija"
id,"Pelemparan_di_Praha"
ja,"プラハ窓外放出事件"
ka,"პრაღის_დეფენესტრაციები"
ko,"프라하_창밖_투척사건"
la,"Defenestratio_Pragensis"
ms,"Defenestratio_Pragensis"
no,"Defenestrasjonene_i_Praha"
pl,"Defenestracja_praska"
pt,"Defenestrações_de_Praga"
ro,"Defenestrațiile_de_la_Praga"
ru,"Пражские_дефенестрации"
scn,"Difinistrazzioni_di_Praga"
sh,"Praška_defenestracija"
sl,"Praška_defenestracija"
sr,"Прашка_дефенестрација"
sv,"Defenestrationerna_i_Prag"
uk,"Празька_дефенестрація"
vec,"Desfenestrazion_de_Praga"
zh,"布拉格拋窗事件"
